"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_002E","B08301_002M","B08301_003E","B08301_003M","B08301_004E","B08301_004M","B08301_005E","B08301_005M","B08301_006E","B08301_006M","B08301_007E","B08301_007M","B08301_008E","B08301_008M","B08301_009E","B08301_009M","B08301_010E","B08301_010M","B08301_011E","B08301_011M","B08301_012E","B08301_012M","B08301_013E","B08301_013M","B08301_014E","B08301_014M","B08301_015E","B08301_015M","B08301_016E","B08301_016M","B08301_017E","B08301_017M","B08301_018E","B08301_018M","B08301_019E","B08301_019M","B08301_020E","B08301_020M","B08301_021E","B08301_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Car, truck, or van","Margin of Error!!Total!!Car, truck, or van","Estimate!!Total!!Car, truck, or van!!Drove alone","Margin of Error!!Total!!Car, truck, or van!!Drove alone","Estimate!!Total!!Car, truck, or van!!Carpooled","Margin of Error!!Total!!Car, truck, or van!!Carpooled","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat","Estimate!!Total!!Taxicab","Margin of Error!!Total!!Taxicab","Estimate!!Total!!Motorcycle","Margin of Error!!Total!!Motorcycle","Estimate!!Total!!Bicycle","Margin of Error!!Total!!Bicycle","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Other means","Margin of Error!!Total!!Other means","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home"
"0400000US01","Alabama","1983610","17231","1882348","17185","1713067","16092","169281","7633","139333","6783","19259","2427","5638","1515","3269","811","1782","694","9592","1522","9146","1491","55","86","52","83","163","215","176","184","1175","524","2788","800","1942","709","20806","2495","14904","2281","50055","3837"
"0400000US02","Alaska","357776","5366","285035","5943","238572","6380","46463","3762","38225","3743","4606","1188","1317","601","752","361","1563","657","6589","1186","6113","1143","289","454","0","147","0","147","187","215","603","403","823","460","3562","879","31566","2754","14227","1850","15371","2129"
"0400000US04","Arizona","2754451","16364","2404420","16956","2100376","17326","304044","12325","232628","10236","43285","4233","15455","2494","7842","1464","4834","1085","64986","5490","61778","5494","1366","659","378","234","1403","845","61","100","1434","550","12614","1544","26773","2747","56982","4507","36895","4284","150347","7170"
"0400000US05","Arkansas","1223214","12038","1144410","11406","1020341","11819","124069","6716","94597","5860","18196","2253","6061","1431","2990","964","2225","954","5803","1288","5734","1280","0","192","30","51","0","192","39","69","926","583","2842","1010","2560","962","20212","2476","11872","1568","34589","3457"
"0400000US06","California","16745843","39207","14085555","38137","12260080","42986","1825475","24341","1364318","20050","272085","11331","94616","5677","59032","4710","35424","3631","889921","17947","615342","15949","21089","2460","177460","6856","67175","4000","8855","1483","7744","1820","58666","3310","189725","6873","457693","13269","178706","8101","877833","17079"
"0400000US08","Colorado","2577184","15140","2174268","16760","1923952","17524","250316","8641","190546","7355","35162","3093","14806","2527","5868","1378","3934","2134","86249","4528","73930","4508","2321","824","6905","1146","2800","884","293","217","1276","617","7023","1235","33664","3930","75639","4373","21445","2607","177620","7065"
"0400000US09","Connecticut","1736156","10689","1497154","11221","1353252","13031","143902","6763","113579","6037","16951","2840","6678","1545","3113","791","3581","970","89137","5194","45803","3924","110","125","3048","643","39806","2873","370","225","1525","775","1381","569","5171","1213","54686","4012","11973","2336","75129","4216"
"0400000US10","Delaware","423542","6339","378721","6796","340270","7136","38451","3555","31278","3080","4338","1544","770","362","1626","1042","439","390","14919","2159","11335","1953","0","189","259","269","3291","1010","34","56","81","132","434","276","1712","738","9098","1507","2731","950","15846","1986"
"0400000US11","District of Columbia","330087","4834","124169","5266","106657","5460","17512","2064","13103","1875","2145","775","1479","642","438","235","347","331","127045","5859","51126","3951","1217","781","73353","4047","1349","586","0","203","1643","969","934","479","14986","2071","45003","3716","1833","819","14474","2265"
